Timestamp,What group are you observing?,In which task are they?,What is the level of engagement of each student in solving the task? (please mark all that apply) [Student A],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student B],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student C],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student D],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student E],"Please write down some short notes about what the group is doing, especially: what activity they are performing, which student is writing in the diary, whether they are collaborating or rather cooperating, and other problems you may perceive in the collaboration dynamic"
06/12/2017 09:59:41,Group 1,Sissejuhatus - Introduction,,,,,,The session starts
06/12/2017 10:17:02,Group 3,Hõimuneem - Tribe creation,Looking to others as they try to solve the task,Looking to others as they try to solve the task,Looking to others as they try to solve the task,Looking to others as they try to solve the task,,Просто смотрят
06/12/2017 10:20:17,Group 5,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,All them read the text together. Their teacher stays with them for a while clarifying and translating?. The kids talk with the other group. C and D take care of the tablets and A if the box
06/12/2017 10:20:46,Group 3,Hõimuneem - Tribe creation,Totally disengaged,Totally disengaged,Totally disengaged,Looking to others as they try to solve the task,,d наблюдает за всеми
06/12/2017 10:21:05,Group 2,Hõimuneem - Tribe creation,Looking to others as they try to solve the task,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",Tasks are not clear. Facing issues and their own teacher is helping them
06/12/2017 10:21:34,Group 1,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Technical issues, the form is not uploading in one tablet, b is looking at others but not participating "
06/12/2017 10:22:29,Group 4,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"They seem a bit puzzled until teacher comes. I explain observation, teacher comes and they start opening materials, giggling"
06/12/2017 10:22:47,Group 3,Hõimuneem - Tribe creation,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,,Помогает взрослый. Читают задание
06/12/2017 10:26:02,Group 5,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,B takes her own phone to have an extra device. A opens Graasp with the one tablet. Edna comes to explain them how to deal with Graasp
06/12/2017 10:26:06,Group 2,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",Looking to others as they try to solve the task,"Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task",SOME students are Russian and facing language issue. Grassp instructions are not given. Facing problem related to resources; asking for something to teacher
06/12/2017 10:26:17,Group 3,Hõimuneem - Tribe creation,Looking to others as they try to solve the task,Talking with their group peers to solve the task,Looking to others as they try to solve the task,Talking with their group peers to solve the task,,В- нашла страницу. Пытаются как выполнить задание с помощью планшета
06/12/2017 10:26:31,Group 1,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","The group is looking at another group as teacher is explaining to them, and discussing "
06/12/2017 10:26:54,Group 4,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"Reading materials, talking about it. They seem to divide naturally in pairs, due to the table layout BD AC. The use of tablet is fluid, first CD, occasionally A and C."
06/12/2017 10:29:49,Group 3,Hõimuneem - Tribe creation,Talking with their group peers to solve the task,Looking to others as they try to solve the task,Looking to others as they try to solve the task,Talking with their group peers to solve the task,,А- пользуется планшетом. В- ищет в коробке. C- взяла другой планшет. D- отвлекся на другую группу и читает потом лимток
06/12/2017 10:30:02,Group 2,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,"Looking to others as they try to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",C is the only girl and all 4 are boys. She is feeling isolated in group and just looking to others
06/12/2017 10:30:51,Group 5,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,C takes control of the tablet with the Graasp resource. B uses her phone. Students struggle with estonian. They ask me And Aleks what to do
06/12/2017 10:31:09,Group 1,Sissejuhatus - Introduction,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Looking to others as they try to solve the task,Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","E is working on her mobile as well, A is more active and interacting will others to solve problem"
06/12/2017 10:31:10,Group 4,Hõimuneem - Tribe creation,"Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,"D is very concentratedf reading tablet, the others laugh and talk more. Still taking mostly in pairs BD AC. A more concentrated, using the tablet"
06/12/2017 10:31:50,Group 3,Hõimuneem - Tribe creation,Looking to others as they try to solve the task,Totally disengaged,Looking to others as they try to solve the task,Looking to others as they try to solve the task,,В- занята телефоном своим.
06/12/2017 10:34:17,Group 3,Hõimuneem - Tribe creation,Looking to others as they try to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,,У детей не понимание задание. Трудность перевода. Взрослый помогает. Обьясняет пользоватся своими устройствами. Чтобы прочитпли
