Timestamp,What group are you observing?,In which task are they?,What is the level of engagement of each student in solving the task? (please mark all that apply) [Student A],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student B],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student C],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student D],"Please write down some short notes about what the group is doing, especially: what activity they are performing, which student is writing in the diary, whether they are collaborating or rather cooperating, and other problems you may perceive in the collaboration dynamic",Which observer are you?
10/01/2018 10:17:37,Group 2,Sissejuhatus - Introduction,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","All students were engaged and participated activly.
",2-A
10/01/2018 10:17:38,Group 2,Sissejuhatus - Introduction,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Getting into the task, some small wifi prioblems. They also ask me for clarifications",2-B
10/01/2018 10:17:53,Group 1,Sissejuhatus - Introduction,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Teacher explains and students are logging to Graasp. A is facing some problem and C is helping,1-B
10/01/2018 10:18:40,Group 1,Sissejuhatus - Introduction,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","They are using technology and talking. Student D seems nit to collaborate so much.
They listen the instructions from the teacher and read instructions from their tablets.
Student C seems to be very active and supportive with his colleagues.",1-A
10/01/2018 10:24:59,Group 2,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Still concentrated, reading instructions (phone or tablet) and commenting. Observer steps in when they seem confused",2-B
10/01/2018 10:25:03,Group 2,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",All students are engaged and using dictionary appropriately. ,2-A
10/01/2018 10:25:56,Group 1,Sissejuhatus - Introduction,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",A is explaining to peers about Graasp related options. B is facing problem in loading the page.,1-B
10/01/2018 10:26:04,Group 1,Sissejuhatus - Introduction,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","The dynamic continues: student C is especially supportive and student D is not so talkative, although he interacts with his colleagues.
There are questions and answers inside the group, it seems that the questions refer to how to use the technology.",1-A
10/01/2018 10:31:05,Group 2,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Finding and understanding the assignment was vonfusing for some students. They didnt read assignment carefully.,2-A
10/01/2018 10:31:06,Group 2,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Teacher explains some things to all the class. C plays videogame briefly during explanation. After some teacher/observer instructions, they start getting materials",2-B
