Timestamp,Team id,What is the level of engagement of each student in solving the task? (please mark all that apply) [Student A],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student B],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student C],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student D],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student E],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student F],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student G],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student H],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student I],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student J],"Please write down any other comment you have, notes or notable events"
18/10/2017 10:12:49,Team 1-2,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,,,
18/10/2017 10:15:16,Team 1-1,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,,,,,,,,
18/10/2017 10:18:14,Team 1-2,"Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Totally disengaged,"Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,,,,,,,
18/10/2017 10:20:12,Team 1-1,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,,,,,,,,
18/10/2017 10:24:46,Team 1-2,"Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Looking to others as they try to solve the task,,,,,,,,
18/10/2017 10:25:04,Team 1-1,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,,,,
18/10/2017 10:29:13,Team 1-2,Looking to others as they try to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,,,,,,,,
18/10/2017 10:30:20,Team 1-1,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,,,,
18/10/2017 10:33:43,Team 1-2,"Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,,,"Tags were not working inILS
CHANGED TAB"
